Track,Album Name,Artist,Release Date,Track Score,Spotify Streams,Spotify Playlist Count,Spotify Popularity,YouTube Views,YouTube Likes,TikTok Likes,TikTok Views,Explicit Track
MILLION DOLLAR BABY,Million Dollar Baby - Single,Tommy Richman,4/26/2024,725.4,"390,470,936",30716,92.0,"84,274,754","1,713,126","651,565,900","5,332,281,936",0
Not Like Us,Not Like Us,Kendrick Lamar,5/4/2024,545.9,"323,703,884",28113,92.0,"116,347,040","3,486,739","35,223,547","208,339,025",1
i like the way you kiss me,I like the way you kiss me,Artemas,3/19/2024,538.4,"601,309,283",54331,92.0,"122,599,116","2,228,730","275,154,237","3,369,120,610",0
Flowers,Flowers - Single,Miley Cyrus,1/12/2023,444.9,"2,031,280,633",269802,85.0,"1,096,100,899","10,629,796","1,078,757,968","14,603,725,994",0
Houdini,Houdini,Eminem,5/31/2024,423.3,"107,034,922",7223,88.0,"77,373,957","3,670,188",,,1
Lovin On Me,Lovin On Me,Jack Harlow,11/10/2023,410.1,"670,665,438",105892,83.0,"131,148,091","1,392,593","214,943,489","2,938,686,633",1
Beautiful Things,Beautiful Things,Benson Boone,1/18/2024,407.2,"900,158,751",73118,86.0,"308,723,145","4,120,760","29,584,940","534,915,313",0
Gata Only,Gata Only,FloyyMenor,2/2/2024,375.8,"675,079,153",40094,92.0,"228,382,568","1,439,495","338,546,668","3,804,584,163",1
Danza Kuduro - Cover,ýýýýýýýýýýýýýýýýýýýýý - ýýýýýýýýýýýýýýýýýý -,MUSIC LAB JPN,6/9/2024,355.7,"1,653,018,119",1,,,,,,1
BAND4BAND (feat. Lil Baby),BAND4BAND (feat. Lil Baby),Central Cee,5/23/2024,330.6,"90,676,573",10400,86.0,"32,735,244","988,682","121,574,500","974,656,200",1
I Had Some Help (feat. Morgan Wallen),I Had Some Help,Post Malone,5/10/2024,322.1,"250,080,413",16219,91.0,"32,229,063","550,191","184,500","2,100,000",1
The Door,The Door,Teddy Swims,6/14/2024,320.2,"111,155,129",2,,,,,,1
LUNCH,HIT ME HARD AND SOFT,Billie Eilish,5/17/2024,316.3,"221,636,195",13800,92.0,"40,022,524","1,307,290","45,889,000","360,017,000",0
Like That,WE DON'T TRUST YOU,Future,3/22/2024,308.2,"355,186,436",43025,88.0,"98,081,493","1,456,177",,,1
bathroom floor,bathroom floor,Kids With Buns,10/7/2022,301.6,"297,185",277,12.0,"6,736,502,312","16,785,489","1,088","22,234",0
LALA,LALA - Single,Myke Towers,3/22/2023,299.9,"925,655,569",103605,79.0,"934,302,031","4,294,166","521,725,116","7,499,234,052",1
Fortnight (feat. Post Malone),THE TORTURED POETS DEPARTMENT,Taylor Swift,4/18/2024,297.6,"395,433,400",12784,89.0,"104,673,836","2,484,083","25,348,800","207,317,000",0
greedy,greedy,Tate McRae,9/14/2023,293.7,"1,258,569,694",105218,87.0,"141,646,818","1,514,837","419,319,161","5,456,156,211",1
BLUE,HIT ME HARD AND SOFT,Billie Eilish,5/17/2024,292.6,"91,272,461",6499,86.0,"16,038,053","569,377","119,740,900","1,225,345,800",0
As It Was,As It Was,Harry Styles,3/31/2022,292.0,"3,301,814,535",407119,87.0,"800,899,315","9,101,589","1,633,970,617","15,405,881,843",0
Paint The Town Red,Paint The Town Red,Doja Cat,8/4/2023,290.5,"1,065,399,331",170890,78.0,"240,970,670","2,749,668","652,428,798","7,095,564,106",1
Espresso,Espresso,Sabrina Carpenter,4/12/2024,281.5,"547,882,871",24425,95.0,"107,550,212","1,825,761","169,144,295","1,379,499,000",1
