District,bucket,pct_change,slope
Agawam,decreasing,-0.15275397796817625,-27.50146627566044
Amherst,decreasing,-0.42967032967032964,-27.19611436950169
Amherst-Pelham,decreasing,-0.29009009009009007,-27.415872434018183
Athol-Royalston,decreasing,-0.3059281696235396,-33.5018328445751
Berkshire Hills,decreasing,-0.35518814139110605,-20.936217008797843
Central Berkshire,decreasing,-0.35985006247396917,-38.58815982404746
Chesterfield-Goshen,decreasing,-0.3853658536585366,-1.1779692082111315
Chicopee,decreasing,-0.06102307478454268,-19.839809384164894
Conway,decreasing,-0.25853658536585367,-2.1376466275659967
Deerfield,decreasing,-0.2764423076923077,-3.917888563049945
Easthampton,decreasing,-0.30978809283551967,-18.87536656891511
Erving,decreasing,-0.3430232558139535,-1.6096041055718682
Farmington River Reg,decreasing,-0.42857142857142855,-3.1920821114369713
Florida,decreasing,-0.3140495867768595,-1.4083577712610125
Gateway,decreasing,-0.5769000598444045,-36.12811583577754
Gill-Montague,decreasing,-0.4596977329974811,-28.56213343108536
Granby,decreasing,-0.29330499468650373,-14.198680351906498
Greenfield,decreasing,-0.47629969418960244,-37.37371700879793
Hadley,decreasing,-0.1631663974151858,-4.840175953079284
Hatfield,decreasing,-0.36863543788187375,-4.4736070381232285
Hawlemont,decreasing,-0.6395939086294417,-3.029325513196486
Holyoke,decreasing,-0.35377358490566035,-107.27749266862317
Hoosac Valley Regional,decreasing,-0.49185336048879835,-37.762096774194035
Lee,decreasing,-0.2789934354485777,-10.574963343108651
Leverett,decreasing,-0.37727272727272726,-2.4367668621700904
Ludlow,decreasing,-0.22401685393258428,-23.742485337243902
Monson,decreasing,-0.39668174962292607,-23.827162756598703
New Salem-Wendell,decreasing,-0.4017857142857143,-2.765395894428164
North Adams,decreasing,-0.5002174858634189,-42.991752199414
Northampton,decreasing,-0.18324607329842932,-18.265395894428355
Orange,decreasing,-0.4334862385321101,-14.2791422287392
Palmer,decreasing,-0.47902764537654907,-40.00604838709735
Pioneer Valley,decreasing,-0.5034188034188034,-20.45986070381262
Pittsfield,decreasing,-0.286634460547504,-75.11143695014765
Ralph C Mahar,decreasing,-0.30842391304347827,-5.2349706744869104
Richmond,decreasing,-0.215,-1.699596774193567
Rowe,decreasing,-0.5263157894736842,-0.44208211143691967
Savoy,decreasing,-0.45714285714285713,-0.8060850439882741
Shutesbury,decreasing,-0.491869918699187,-4.380498533724371
South Hadley,decreasing,-0.3109315185027648,-25.95876099706781
Southern Berkshire,decreasing,-0.44667274384685507,-18.985153958944522
Southwick-Tolland-Granville Regional School District,decreasing,-0.2753217683268047,-19.591458944281904
Sunderland,decreasing,-0.28688524590163933,-2.85612170087981
Ware,decreasing,-0.1592851592851593,-7.218108504398951
Westfield,decreasing,-0.23292075229062853,-64.4505131964821
Westhampton,decreasing,-0.46629213483146065,-2.355388563049874
Whately,decreasing,-0.08904109589041095,-0.36491935483870636
Williamsburg,decreasing,-0.5022421524663677,-4.285740469208273
Ashfield-Plainfield Reg,flat,0.0,
Belchertown,flat,-0.026215443279313633,-4.348607038123482
Buckland Colrain Shelburn Regional,flat,0.0,
Clarksburg,flat,0.02,-0.6719208211143817
East Longmeadow,flat,-0.024370755093887336,-2.6251832844576524
Four Rivers Charter Public (District),flat,,7.3813043478260525
Frontier,flat,-0.045454545454545456,-1.8848973607038906
Hampshire,flat,0.027181688125894134,-4.412390029325671
Lenox,flat,-0.025284450063211124,-2.510263929618827
Longmeadow,flat,-0.02401129943502825,-11.368401759531185
Pelham,flat,0.015873015873015872,-0.2674120234604125
Southampton,flat,0.04856512141280353,-1.569098240469291
Springfield,flat,-0.01955098997597548,-19.399560117303235
Warwick,flat,0.0,-5.024697935199436e-15
Baystate Academy Charter Public School (District),increasing,1.4099378881987579,18.562937062937024
Berkshire Arts and Technology Charter Public (District),increasing,4.6875,11.635064935064955
Greater Commonwealth Virtual District,increasing,1.6079295154185023,66.26223776223775
Hampden Charter School of Science (District),increasing,3.910994764397906,33.1264705882354
Hampden Charter School of Science West (District),increasing,0.8851674641148325,36.8000000000013
Hampden-Wilbraham,increasing,2.0747065101387405,-14.726906158359848
Hancock,increasing,0.06666666666666667,-0.3333944281525023
Holyoke Community Charter (District),increasing,0.13614262560777957,0.45789473684203386
Mohawk Trail,increasing,0.09673024523160763,-31.503848973608022
Mount Greylock,increasing,0.7942073170731707,10.644611436950273
Northampton-Smith Vocational Agricultural,increasing,0.23839662447257384,1.4521627565982698
Paulo Freire Social Justice Charter School (District),increasing,0.7171052631578947,3.5212121212136998
Petersham,increasing,0.2909090909090909,1.0625000000000178
"Phoenix Academy Public Charter High School, Springfield (District)",increasing,0.29508196721311475,0.0818181818182883
Pioneer Valley Chinese Immersion Charter (District),increasing,12.904761904761905,32.5294117647048
Pioneer Valley Performing Arts Charter Public (District),increasing,5.203125,7.445320197044288
Springfield International Charter (District),increasing,2.3577777777777778,27.726140155728654
Springfield Preparatory Charter School (District),increasing,3.5,45.878787878788984
Veritas Preparatory Charter School (District),increasing,10.866666666666667,20.97421750663128
West Springfield,increasing,0.06584910690482539,1.7096774193547106
Worthington,increasing,0.5510204081632653,2.1696969696969424
