District,Metric_Type,Category,Latest_Year,Latest_Value,Year_5yr,Value_5yr,Year_10yr,Value_10yr,Start_Year,Start_Value,CAGR_5yr,CAGR_10yr,CAGR_15yr
Abby Kelley Foster Charter Public (District),Expenditure,Teachers,2024,7312.0,2019,4646.0,2014,,2009,,0.09494270747690736,,
Abby Kelley Foster Charter Public (District),Expenditure,"Insurance, Retirement and Other",2024,2130.0,2019,3646.0,2014,,2009,,-0.10192503957864574,,
Abby Kelley Foster Charter Public (District),Expenditure,Pupil Services,2024,2289.0,2019,1664.0,2014,,2009,,0.06585590143296738,,
Abby Kelley Foster Charter Public (District),Expenditure,Other Teaching Services,2024,873.0,2019,840.0,2014,,2009,,0.007736506101490015,,
Abby Kelley Foster Charter Public (District),Expenditure,Operations and Maintenance,2024,1503.0,2019,1729.0,2014,,2009,,-0.0276272099441629,,
Abby Kelley Foster Charter Public (District),Expenditure,Instructional Leadership,2024,570.0,2019,1162.0,2014,,2009,,-0.1327710931578816,,
Abby Kelley Foster Charter Public (District),Expenditure,Administration,2024,2165.0,2019,866.0,2014,,2009,,0.20112443398143132,,
Abby Kelley Foster Charter Public (District),Expenditure,"Guidance, Counseling and Testing",2024,552.0,2019,341.0,2014,,2009,,0.10112580310679498,,
Abby Kelley Foster Charter Public (District),Expenditure,Other,2024,538.0,2019,468.0,2014,,2009,,0.02827028214381233,,
Abby Kelley Foster Charter Public (District),Expenditure,Total PPE,2024,17932.0,2019,15362.0,2014,,2009,,0.03142153287460103,,
Abby Kelley Foster Charter Public (District),Enrollment,In-District FTE Pupils,2024,1421.4,2019,1425.4,2014,,2009,,-0.000561877022946411,,
Abby Kelley Foster Charter Public (District),Enrollment,Out-of-District FTE Pupils,2024,0.0,2019,0.0,2014,,2009,,,,
Abington,Expenditure,Teachers,2024,6531.0,2019,5543.0,2014,4698.0,2009,3866.0,0.0333488512992175,0.03349092418255584,0.035574121142313286
Abington,Expenditure,"Insurance, Retirement and Other",2024,3082.0,2019,2469.0,2014,1995.0,2009,1763.0,0.0453514088572744,0.04445317260637904,0.03793945607876603
Abington,Expenditure,Pupil Services,2024,1827.0,2019,1432.0,2014,1072.0,2009,828.0,0.04992700401961092,0.05476175995049304,0.05417783535529863
Abington,Expenditure,Other Teaching Services,2024,2141.0,2019,1267.0,2014,1044.0,2009,833.0,0.11062644573141256,0.07446337619956211,0.0649554597205475
Abington,Expenditure,Operations and Maintenance,2024,1119.0,2019,1002.0,2014,783.0,2009,768.0,0.02233321972084168,0.036350908476555865,0.025410887731234455
Abington,Expenditure,Instructional Leadership,2024,961.0,2019,768.0,2014,653.0,2009,503.0,0.045857303454095666,0.03939595089752945,0.04410384119261024
Abington,Expenditure,Administration,2024,388.0,2019,384.0,2014,403.0,2009,333.0,0.0020747066387576396,-0.003785937431353137,0.010242960265517631
Abington,Expenditure,"Guidance, Counseling and Testing",2024,611.0,2019,471.0,2014,341.0,2009,306.0,0.05342606666746308,0.060055693931790666,0.047179951409401566
Abington,Expenditure,Other,2024,435.0,2019,676.0,2014,734.0,2009,439.0,-0.08439424826251085,-0.050971358159762836,-0.0006100393160726192
Abington,Expenditure,Total PPE,2024,17095.0,2019,14012.0,2014,11723.0,2009,9639.0,0.04057597664973711,0.03844388675646071,0.03893682881793903
Abington,Enrollment,In-District FTE Pupils,2024,2142.5,2019,2064.7,2014,1943.1,2009,2306.2,0.007425117300326578,0.009816744762412899,-0.004896491367392342
Abington,Enrollment,Out-of-District FTE Pupils,2024,145.2,2019,102.0,2014,93.6,2009,79.4,0.07318177534273951,0.044886400540278704,0.0410615519610138
Abington,NSS,Ch70 Aid,2024,6429.338168631007,2019,3862.1200592885375,2014,3672.6065737051795,2009,3412.839597902098,0.10730713874421394,0.057594506320832295,0.043125813731063944
Abington,NSS,Req NSS (minus Ch70),2024,7753.607887579329,2019,6769.272727272727,2014,6484.3097609561755,2009,4843.513986013986,0.027524922650405736,0.018038044569721468,0.031865007788516975
Abington,NSS,Actual NSS (minus Req NSS),2024,1726.8033923118774,2019,2706.730036267131,2014,1114.891364029965,2009,1338.3435834926322,-0.08597181012361887,0.04472270698823033,0.01713442072893545
Abington,NSS,Total Actual NSS per pupil,2024,15909.749448522212,2019,13338.122822828394,2014,11271.80769869132,2009,9594.697167408714,0.03589020273390919,0.03506345910350417,0.03428955263600897
Abington,Enrollment,Foundation Enrollment,2024,2206.0,2019,2024.0,2014,2008.0,2009,2288.0,0.01737017075224223,0.009448530066313854,-0.002430185818057984
Academy Of the Pacific Rim Charter Public (District),Expenditure,Teachers,2024,10131.0,2019,5174.0,2014,,2009,,0.14383973259899085,,
Academy Of the Pacific Rim Charter Public (District),Expenditure,"Insurance, Retirement and Other",2024,2472.0,2019,4498.0,2014,,2009,,-0.1128321336621968,,
Academy Of the Pacific Rim Charter Public (District),Expenditure,Pupil Services,2024,2473.0,2019,2466.0,2014,,2009,,0.0005670774871029405,,
Academy Of the Pacific Rim Charter Public (District),Expenditure,Other Teaching Services,2024,959.0,2019,792.0,2014,,2009,,0.039007506279198356,,
Academy Of the Pacific Rim Charter Public (District),Expenditure,Operations and Maintenance,2024,2188.0,2019,1164.0,2014,,2009,,0.13453753193690665,,
Academy Of the Pacific Rim Charter Public (District),Expenditure,Instructional Leadership,2024,5144.0,2019,1652.0,2014,,2009,,0.25504177937377603,,
Academy Of the Pacific Rim Charter Public (District),Expenditure,Administration,2024,4093.0,2019,2612.0,2014,,2009,,0.09399091241979729,,
Academy Of the Pacific Rim Charter Public (District),Expenditure,"Guidance, Counseling and Testing",2024,612.0,2019,905.0,2014,,2009,,-0.0752580304644902,,
Academy Of the Pacific Rim Charter Public (District),Expenditure,Other,2024,1927.0,2019,878.0,2014,,2009,,0.1702467394046161,,
Academy Of the Pacific Rim Charter Public (District),Expenditure,Total PPE,2024,29999.0,2019,20141.0,2014,,2009,,0.08294188110569611,,
Academy Of the Pacific Rim Charter Public (District),Enrollment,In-District FTE Pupils,2024,452.6,2019,532.7,2014,,2009,,-0.03206460646100573,,
Academy Of the Pacific Rim Charter Public (District),Enrollment,Out-of-District FTE Pupils,2024,0.0,2019,0.0,2014,,2009,,,,
Acton,Expenditure,Teachers,2014,4556.0,2009,3940.0,2004,,1999,,0.029479015883767,,
Acton,Expenditure,"Insurance, Retirement and Other",2014,1916.0,2009,1712.0,2004,,1999,,0.02277086690907093,,
Acton,Expenditure,Pupil Services,2014,1328.0,2009,1052.0,2004,,1999,,0.047698849595609216,,
Acton,Expenditure,Other Teaching Services,2014,1521.0,2009,1266.0,2004,,1999,,0.03738294007224496,,
Acton,Expenditure,Operations and Maintenance,2014,750.0,2009,861.0,2004,,1999,,-0.02722674366441158,,
Acton,Expenditure,Instructional Leadership,2014,778.0,2009,547.0,2004,,1999,,0.07299686759859148,,
Acton,Expenditure,Administration,2014,602.0,2009,515.0,2004,,1999,,0.0317105046215147,,
Acton,Expenditure,"Guidance, Counseling and Testing",2014,250.0,2009,197.0,2004,,1999,,0.0488050178461481,,
Acton,Expenditure,Other,2014,364.0,2009,313.0,2004,,1999,,0.03065047848582525,,
Acton,Expenditure,Total PPE,2014,12065.0,2009,10403.0,2004,,1999,,0.030086618768723206,,
Acton,Enrollment,In-District FTE Pupils,2014,2453.3,2009,2566.7,2004,,1999,,-0.008996679517251027,,
Acton,Enrollment,Out-of-District FTE Pupils,2014,47.4,2009,29.6,2004,,1999,,0.09874604830543388,,
Acton,NSS,Ch70 Aid,2014,2390.4422077245626,2009,2163.9656456953644,2004,1094.1630937368639,1999,708.4579482439926,0.02010664678169105,0.0812836065566922,0.08445352500440095
Acton,NSS,Req NSS (minus Ch70),2014,6461.941905168731,2009,5619.76738410596,2004,5463.917612442203,1999,4896.509704251386,0.02832156132260133,0.016917897097471046,0.018665885114864667
Acton,NSS,Actual NSS (minus Req NSS),2014,2594.113110515506,2009,1967.200331125828,2004,1109.567044976881,1999,602.7204251386322,0.056885802589634826,0.08863811579401171,0.1021943995362471
Acton,NSS,Total Actual NSS per pupil,2014,11446.4972234088,2009,9750.933360927153,2004,7667.647751155948,1999,6207.688077634011,0.03258374427242128,0.0408809144236435,0.041636480274094945
Acton,Enrollment,Foundation Enrollment,2024,0.0,2019,0.0,2014,2341.0,2009,2416.0,,,
Acton-Boxborough,Expenditure,Teachers,2024,7718.0,2019,5888.0,2014,5051.0,2009,4268.0,0.0556194767288225,0.04330848777159191,0.040284252283554256
Acton-Boxborough,Expenditure,"Insurance, Retirement and Other",2024,3853.0,2019,2369.0,2014,2265.0,2009,1943.0,0.1021654417512814,0.05456433672728789,0.04669885051945033
Acton-Boxborough,Expenditure,Pupil Services,2024,2782.0,2019,1635.0,2014,2081.0,2009,1565.0,0.11216154307899351,0.029457695752612256,0.039097226393797424
Acton-Boxborough,Expenditure,Other Teaching Services,2024,2007.0,2019,1596.0,2014,793.0,2009,695.0,0.04689444915634389,0.09730515260538919,0.07325809100420666
Acton-Boxborough,Expenditure,Operations and Maintenance,2024,1342.0,2019,1094.0,2014,1062.0,2009,1145.0,0.04171049299452134,0.023676656455659417,0.010639966207474316
Acton-Boxborough,Expenditure,Instructional Leadership,2024,1353.0,2019,1048.0,2014,865.0,2009,773.0,0.052415662432142573,0.04575071192981772,0.03802517584851661
Acton-Boxborough,Expenditure,Administration,2024,524.0,2019,432.0,2014,593.0,2009,449.0,0.039368398171154784,-0.01229407417692141,0.010351125828126806
