District,YEAR,Category,PPE
Abby Kelley Foster Charter Public (District),2019,Teachers,4646.0
Abby Kelley Foster Charter Public (District),2020,Teachers,4838.0
Abby Kelley Foster Charter Public (District),2021,Teachers,5327.0
Abby Kelley Foster Charter Public (District),2022,Teachers,5738.0
Abby Kelley Foster Charter Public (District),2023,Teachers,6664.0
Abby Kelley Foster Charter Public (District),2024,Teachers,7312.0
Abby Kelley Foster Charter Public (District),2019,"Insurance, Retirement and Other",3646.0
Abby Kelley Foster Charter Public (District),2020,"Insurance, Retirement and Other",4184.0
Abby Kelley Foster Charter Public (District),2021,"Insurance, Retirement and Other",4898.0
Abby Kelley Foster Charter Public (District),2022,"Insurance, Retirement and Other",1935.0
Abby Kelley Foster Charter Public (District),2023,"Insurance, Retirement and Other",2030.0
Abby Kelley Foster Charter Public (District),2024,"Insurance, Retirement and Other",2130.0
Abby Kelley Foster Charter Public (District),2019,Pupil Services,1664.0
Abby Kelley Foster Charter Public (District),2020,Pupil Services,1509.0
Abby Kelley Foster Charter Public (District),2021,Pupil Services,1313.0
Abby Kelley Foster Charter Public (District),2022,Pupil Services,1968.0
Abby Kelley Foster Charter Public (District),2023,Pupil Services,2039.0
Abby Kelley Foster Charter Public (District),2024,Pupil Services,2289.0
Abby Kelley Foster Charter Public (District),2019,Other Teaching Services,840.0
Abby Kelley Foster Charter Public (District),2020,Other Teaching Services,759.0
Abby Kelley Foster Charter Public (District),2021,Other Teaching Services,861.0
Abby Kelley Foster Charter Public (District),2022,Other Teaching Services,912.0
Abby Kelley Foster Charter Public (District),2023,Other Teaching Services,970.0
Abby Kelley Foster Charter Public (District),2024,Other Teaching Services,873.0
Abby Kelley Foster Charter Public (District),2019,Operations and Maintenance,1729.0
Abby Kelley Foster Charter Public (District),2020,Operations and Maintenance,1326.0
Abby Kelley Foster Charter Public (District),2021,Operations and Maintenance,1445.0
Abby Kelley Foster Charter Public (District),2022,Operations and Maintenance,1563.0
Abby Kelley Foster Charter Public (District),2023,Operations and Maintenance,1965.0
Abby Kelley Foster Charter Public (District),2024,Operations and Maintenance,1503.0
Abby Kelley Foster Charter Public (District),2019,Instructional Leadership,1162.0
Abby Kelley Foster Charter Public (District),2020,Instructional Leadership,1204.0
Abby Kelley Foster Charter Public (District),2021,Instructional Leadership,1045.0
Abby Kelley Foster Charter Public (District),2022,Instructional Leadership,1006.0
Abby Kelley Foster Charter Public (District),2023,Instructional Leadership,629.0
Abby Kelley Foster Charter Public (District),2024,Instructional Leadership,570.0
Abby Kelley Foster Charter Public (District),2019,Administration,866.0
Abby Kelley Foster Charter Public (District),2020,Administration,857.0
Abby Kelley Foster Charter Public (District),2021,Administration,1059.0
Abby Kelley Foster Charter Public (District),2022,Administration,1508.0
Abby Kelley Foster Charter Public (District),2023,Administration,1756.0
Abby Kelley Foster Charter Public (District),2024,Administration,2165.0
Abby Kelley Foster Charter Public (District),2019,"Guidance, Counseling and Testing",341.0
Abby Kelley Foster Charter Public (District),2020,"Guidance, Counseling and Testing",395.0
Abby Kelley Foster Charter Public (District),2021,"Guidance, Counseling and Testing",438.0
Abby Kelley Foster Charter Public (District),2022,"Guidance, Counseling and Testing",479.0
Abby Kelley Foster Charter Public (District),2023,"Guidance, Counseling and Testing",507.0
Abby Kelley Foster Charter Public (District),2024,"Guidance, Counseling and Testing",552.0
Abby Kelley Foster Charter Public (District),2019,Other,468.0
Abby Kelley Foster Charter Public (District),2020,Other,324.0
Abby Kelley Foster Charter Public (District),2021,Other,468.0
Abby Kelley Foster Charter Public (District),2022,Other,671.0
Abby Kelley Foster Charter Public (District),2023,Other,555.0
Abby Kelley Foster Charter Public (District),2024,Other,538.0
Abington,2009,Teachers,3866.0
Abington,2010,Teachers,3782.0
Abington,2011,Teachers,3949.0
Abington,2012,Teachers,4188.0
Abington,2013,Teachers,4275.0
Abington,2014,Teachers,4698.0
Abington,2015,Teachers,4868.0
Abington,2016,Teachers,5059.0
Abington,2017,Teachers,5336.0
Abington,2018,Teachers,5202.0
Abington,2019,Teachers,5543.0
Abington,2020,Teachers,5524.0
Abington,2021,Teachers,5717.0
Abington,2022,Teachers,5855.0
Abington,2023,Teachers,6330.0
Abington,2024,Teachers,6531.0
Abington,2009,"Insurance, Retirement and Other",1763.0
Abington,2010,"Insurance, Retirement and Other",1667.0
Abington,2011,"Insurance, Retirement and Other",1974.0
Abington,2012,"Insurance, Retirement and Other",2039.0
Abington,2013,"Insurance, Retirement and Other",1892.0
Abington,2014,"Insurance, Retirement and Other",1995.0
