District,YEAR,Metric,Value
Abby Kelley Foster Charter Public (District),2019,In-District FTE Pupils,1425.4
Abby Kelley Foster Charter Public (District),2020,In-District FTE Pupils,1421.4
Abby Kelley Foster Charter Public (District),2021,In-District FTE Pupils,1424.2
Abby Kelley Foster Charter Public (District),2022,In-District FTE Pupils,1423.0
Abby Kelley Foster Charter Public (District),2023,In-District FTE Pupils,1415.8
Abby Kelley Foster Charter Public (District),2024,In-District FTE Pupils,1421.4
Abby Kelley Foster Charter Public (District),2019,Out-of-District FTE Pupils,0.0
Abby Kelley Foster Charter Public (District),2020,Out-of-District FTE Pupils,0.0
Abby Kelley Foster Charter Public (District),2021,Out-of-District FTE Pupils,0.0
Abby Kelley Foster Charter Public (District),2022,Out-of-District FTE Pupils,0.0
Abby Kelley Foster Charter Public (District),2023,Out-of-District FTE Pupils,0.0
Abby Kelley Foster Charter Public (District),2024,Out-of-District FTE Pupils,0.0
Abington,2009,In-District FTE Pupils,2306.2
Abington,2010,In-District FTE Pupils,2228.9
Abington,2011,In-District FTE Pupils,2038.7
Abington,2012,In-District FTE Pupils,2031.7
Abington,2013,In-District FTE Pupils,2052.2
Abington,2014,In-District FTE Pupils,1943.1
Abington,2015,In-District FTE Pupils,1939.0
Abington,2016,In-District FTE Pupils,1919.1
Abington,2017,In-District FTE Pupils,1926.2
Abington,2018,In-District FTE Pupils,2035.6
Abington,2019,In-District FTE Pupils,2064.7
Abington,2020,In-District FTE Pupils,2146.0
Abington,2021,In-District FTE Pupils,2124.7
Abington,2022,In-District FTE Pupils,2151.3
Abington,2023,In-District FTE Pupils,2143.5
Abington,2024,In-District FTE Pupils,2142.5
Abington,2009,Out-of-District FTE Pupils,79.4
Abington,2010,Out-of-District FTE Pupils,77.7
Abington,2011,Out-of-District FTE Pupils,80.3
Abington,2012,Out-of-District FTE Pupils,90.8
Abington,2013,Out-of-District FTE Pupils,85.8
Abington,2014,Out-of-District FTE Pupils,93.6
Abington,2015,Out-of-District FTE Pupils,112.8
Abington,2016,Out-of-District FTE Pupils,108.9
Abington,2017,Out-of-District FTE Pupils,114.3
Abington,2018,Out-of-District FTE Pupils,104.0
Abington,2019,Out-of-District FTE Pupils,102.0
Abington,2020,Out-of-District FTE Pupils,107.2
Abington,2021,Out-of-District FTE Pupils,119.2
Abington,2022,Out-of-District FTE Pupils,145.4
Abington,2023,Out-of-District FTE Pupils,153.8
Abington,2024,Out-of-District FTE Pupils,145.2
Academy Of the Pacific Rim Charter Public (District),2019,In-District FTE Pupils,532.7
Academy Of the Pacific Rim Charter Public (District),2020,In-District FTE Pupils,536.1
Academy Of the Pacific Rim Charter Public (District),2021,In-District FTE Pupils,539.0
Academy Of the Pacific Rim Charter Public (District),2022,In-District FTE Pupils,504.3
Academy Of the Pacific Rim Charter Public (District),2023,In-District FTE Pupils,467.4
Academy Of the Pacific Rim Charter Public (District),2024,In-District FTE Pupils,452.6
Academy Of the Pacific Rim Charter Public (District),2019,Out-of-District FTE Pupils,0.0
Academy Of the Pacific Rim Charter Public (District),2020,Out-of-District FTE Pupils,0.0
Academy Of the Pacific Rim Charter Public (District),2021,Out-of-District FTE Pupils,0.0
Academy Of the Pacific Rim Charter Public (District),2022,Out-of-District FTE Pupils,0.0
Academy Of the Pacific Rim Charter Public (District),2023,Out-of-District FTE Pupils,0.0
Academy Of the Pacific Rim Charter Public (District),2024,Out-of-District FTE Pupils,0.0
