Year,Cohort,District_Count,Mean_FTE_In_District,Mean_FTE_Out_District,Mean_FTE_Foundation,Mean_Teachers_PPE,"Mean_Insurance, Retirement and Other_PPE",Mean_Pupil Services_PPE,Mean_Other Teaching Services_PPE,Mean_Operations and Maintenance_PPE,Mean_Instructional Leadership_PPE,Mean_Administration_PPE,"Mean_Guidance, Counseling and Testing_PPE",Mean_Other_PPE,Mean_Ch70 Aid,Mean_Req NSS (minus Ch70),Mean_Actual NSS (minus Req NSS)
2009,Tiny,19,,,,5253.105263157895,2247.1052631578946,1342.2631578947369,1570.2105263157894,1292.578947368421,1055.7368421052631,729.7894736842105,282.05263157894734,577.1052631578947,3540.4062462722736,5265.651798791408,4728.2459187567765
2009,Small,13,,,,4658.153846153846,2056.846153846154,1327.3846153846155,1147.076923076923,1130.3076923076924,757.1538461538462,540.0769230769231,362.46153846153845,576.4615384615385,3549.1107762151805,5297.592018969709,2554.116235036619
2009,Medium,15,,,,4762.4,2523.133333333333,1423.2,1108.0666666666666,1199.4,931.1333333333333,520.7333333333333,402.06666666666666,486.8,5393.725577122364,3383.906667101045,2129.9927741412616
2009,Large,16,,,,4486.0625,1800.375,1120.9375,940.9375,963.0625,735.0,391.4375,389.1875,472.8125,4832.5633822367145,3779.99773023622,974.5417530716709
2009,Springfield,1,,,,5839.0,2050.0,1651.0,1143.0,1150.0,719.0,533.0,380.0,1143.0,9305.291765539225,247.4353721937184,-150.18947189120735
2010,Tiny,20,,,,5440.8,2346.05,1422.2,1659.25,1209.95,1098.35,782.35,301.95,594.3,3600.2717572967276,5852.210025145577,4623.754778326881
2010,Small,12,,,,4765.833333333333,2130.5833333333335,1281.0,1095.5833333333333,1075.8333333333333,731.5,515.9166666666666,380.6666666666667,564.9166666666666,3425.8007663277926,6286.911413902276,1866.9008446491628
2010,Medium,17,,,,4838.588235294118,2451.470588235294,1351.7058823529412,1102.1764705882354,1055.764705882353,921.2352941176471,507.3529411764706,411.3529411764706,455.2352941176471,5459.439231565865,4287.275890290364,1312.931526311183
2010,Large,14,,,,4509.857142857143,1908.5,1125.0714285714287,1032.0714285714287,981.0,793.6428571428571,437.92857142857144,392.92857142857144,585.5714285714286,4681.512349155526,4495.355574428109,890.8165608050724
2010,Springfield,1,,,,4859.0,2226.0,1511.0,1002.0,1081.0,778.0,654.0,362.0,1337.0,9084.43760364111,1321.6430772624003,-383.9149129962537
2011,Tiny,20,,,,5455.9,2563.4,1386.35,1745.05,1349.05,1096.15,790.55,312.65,625.6,3624.5298672216236,5923.13913644621,4800.232394050832
2011,Small,12,,,,4838.25,2322.1666666666665,1367.25,1187.0833333333333,1058.8333333333333,775.0833333333334,558.1666666666666,384.1666666666667,593.25,3303.072596110449,6390.9455526854035,2228.0722435476814
2011,Medium,16,,,,4998.625,2584.8125,1433.0625,1141.6875,1112.9375,909.375,520.625,430.5,466.3125,5330.511113689536,4371.422382712884,1415.9452194605728
2011,Large,15,,,,4625.2,2049.0,1162.1333333333334,1091.6666666666667,1018.7333333333333,812.2666666666667,439.46666666666664,398.8666666666667,643.5333333333333,4742.234208404715,4569.31914456243,1139.2481714002445
2011,Springfield,1,,,,4750.0,2280.0,1729.0,1146.0,1262.0,892.0,446.0,427.0,2068.0,9281.214449743862,1611.4284535966372,-34.79858608206471
2012,Tiny,20,,,,5281.6,2674.5,1447.7,1843.75,1293.5,1192.25,843.5,331.85,627.5,3944.08481436295,6271.335594834284,5206.81638554997
2012,Small,12,,,,5014.75,2402.3333333333335,1444.0833333333333,1203.5,1111.4166666666667,779.0,594.5833333333334,406.75,617.4166666666666,3422.574203150893,6704.231174473503,2348.7518233812893
2012,Medium,16,,,,5073.5,2625.6875,1439.5,1153.5,1084.9375,999.0,547.3125,467.8125,409.375,5535.089271350316,4635.504996175867,1363.8102562994366
2012,Large,15,,,,4742.6,2109.6,1176.8666666666666,1102.4,990.0666666666667,848.3333333333334,453.3333333333333,397.1333333333333,620.0666666666667,4911.599792169921,4689.837154466498,1202.228169557719
2012,Springfield,1,,,,4711.0,2474.0,1965.0,1130.0,1176.0,1173.0,645.0,388.0,1143.0,9757.103202720897,1246.7487415522155,-84.21914472659482
2013,Tiny,20,,,,5545.6,2854.3,1578.8,2100.4,1246.15,1261.4,869.5,367.45,589.5,4070.825874251724,6451.467748411478,5538.78056464956
2013,Small,12,,,,5399.25,2526.4166666666665,1556.6666666666667,1237.25,1204.1666666666667,876.1666666666666,641.8333333333334,448.0,622.0,3603.1832957559586,6958.662756943836,2648.675997741417
2013,Medium,15,,,,5219.6,2749.5333333333333,1627.8666666666666,1325.0,1140.2,1072.1333333333334,596.3333333333334,480.6,519.1333333333333,5736.821436315991,4907.9767025086,1483.3331618973439
2013,Large,16,,,,4892.3125,2056.8125,1241.5,1143.0,987.625,826.375,457.25,421.4375,648.8125,5093.457365541957,4882.953273437338,1235.9123474191986
2013,Springfield,1,,,,4848.0,2437.0,1783.0,1051.0,1132.0,1257.0,550.0,400.0,1424.0,10226.8847626203,1328.8934413456716,-144.37496999826615
2014,Tiny,20,,,,5987.7,3161.9,1628.55,2118.9,1448.55,1322.8,866.1,396.3,628.3,4195.8336270671,6730.055261510952,5435.231940492531
2014,Small,12,,,,5527.333333333333,2546.4166666666665,1548.0833333333333,1267.3333333333333,1258.0,917.25,637.5,473.3333333333333,619.8333333333334,3745.3995108080726,7348.563658203348,2998.521368606745
2014,Medium,17,,,,5261.0,2843.823529411765,1614.1176470588234,1350.3529411764705,1201.3529411764705,1092.8823529411766,578.4705882352941,463.94117647058823,479.5882352941176,5895.724584324432,5096.306124476293,1549.0314284667236
2014,Large,14,,,,5029.142857142857,2251.5714285714284,1324.5,1217.9285714285713,1021.9285714285714,848.5,478.2142857142857,457.07142857142856,653.5714285714286,5177.242980274828,5111.440561555719,1330.9818725673804
2014,Springfield,1,,,,4823.0,2496.0,1852.0,1086.0,997.0,1245.0,677.0,405.0,1734.0,10403.488570021806,1378.9451285932876,4.550710654823876e-05
2015,Tiny,19,,,,6256.421052631579,3271.2105263157896,1694.157894736842,2135.1052631578946,1458.2105263157894,1545.3684210526317,770.8947368421053,414.1578947368421,635.7368421052631,4251.627080211615,6831.515097557051,6347.970552857852
2015,Small,12,,,,5803.083333333333,2536.8333333333335,1558.8333333333333,1526.5833333333333,1310.4166666666667,940.6666666666666,611.5833333333334,488.25,614.8333333333334,3883.309412839859,7307.8542219170795,3069.390319473269
2015,Medium,16,,,,5296.9375,3009.0,1704.75,1357.5,1236.125,1112.25,665.6875,494.0625,463.6875,6097.705648809657,5325.141582546995,1715.5721989491637
2015,Large,16,,,,5207.0625,2353.0,1400.8125,1268.4375,1106.375,892.0,505.25,453.4375,613.5,5316.301572360774,5177.299847645438,1613.007215192721
2015,Springfield,1,,,,4963.0,2467.0,1985.0,1150.0,1121.0,1208.0,596.0,408.0,1241.0,10488.14185359068,1254.2830116501475,1.721965400357181
2016,Tiny,20,,,,6494.75,3198.8,1855.8,2259.25,1380.05,1714.7,823.7,359.15,621.25,4329.113256977272,7084.984229642026,6430.569895637496
2016,Small,12,,,,5825.083333333333,2731.5833333333335,1584.3333333333333,1589.4166666666667,1282.8333333333333,977.5833333333334,635.0833333333334,506.4166666666667,685.4166666666666,3976.8089443031786,7552.624615688583,3688.2122767053174
2016,Medium,17,,,,5459.176470588235,3078.529411764706,1854.764705882353,1410.8823529411766,1195.4705882352941,1164.235294117647,680.7058823529412,535.5882352941177,539.7058823529412,6284.6845589399645,5459.2612765046815,2067.091720674499
2016,Large,15,,,,5392.133333333333,2515.5333333333333,1446.3333333333333,1353.5333333333333,1145.6,903.7333333333333,546.4666666666667,452.0,654.8,5425.467177381621,5333.2163368095635,1824.0554759918994
2016,Springfield,1,,,,5196.0,2566.0,2078.0,1135.0,1027.0,1282.0,580.0,389.0,1376.0,10672.630100103555,1256.6771487745943,2.0525955899423427
2017,Tiny,20,,,,6734.1,3745.7,1930.25,2301.3,1408.5,1607.6,910.2,370.1,686.05,4481.592788926717,7072.060785050081,7958.314561248398
2017,Small,14,,,,5962.142857142857,2847.785714285714,1643.9285714285713,1574.9285714285713,1186.5,969.5,657.2857142857143,551.8571428571429,730.8571428571429,4254.175977926538,7296.591354065776,4079.6070393077057
2017,Medium,15,,,,5660.8,3327.2,1761.4,1541.5333333333333,1271.6,1183.7333333333333,853.0666666666667,533.2,500.6666666666667,6541.91370869681,5431.165585176982,2306.1618399412278
2017,Large,15,,,,5455.2,2595.4666666666667,1468.3333333333333,1361.0,1099.8666666666666,917.2666666666667,538.6,475.73333333333335,655.6666666666666,5607.219015268544,5388.626213421761,2175.554707818653
2017,Springfield,1,,,,4962.0,2562.0,2222.0,1070.0,1063.0,1280.0,507.0,391.0,1286.0,10988.73303789206,1260.181455907108,-3.989454422932758e-05
2018,Tiny,20,,,,6689.0,3491.05,1868.25,2276.45,1357.75,1601.4,838.55,395.45,552.95,4594.337536619402,7178.20904607582,8167.161055814593
2018,Small,10,,,,6061.4,2989.7,1629.2,2002.2,1185.1,1014.9,702.6,500.4,547.7,4234.627546456105,7392.919384343905,3942.4920148846804
2018,Medium,19,,,,6015.894736842105,3503.7894736842104,1920.6315789473683,1601.3157894736842,1293.0,1087.5263157894738,699.4736842105264,593.2105263157895,558.4736842105264,6128.413038752139,5894.543089973013,3834.4613466852466
2018,Large,15,,,,5568.4,2740.4,1524.1333333333334,1388.4666666666667,1122.7333333333333,896.2666666666667,554.8,493.6,642.1333333333333,5705.478526411667,5411.61702360864,2490.521557764043
2018,Springfield,1,,,,5274.0,2635.0,2407.0,1036.0,1156.0,1060.0,490.0,438.0,1371.0,11276.14536281448,1264.943729431155,-106.24320288133424
2019,Tiny,20,,,,7041.1,3760.2,1943.95,2549.55,1719.35,1636.05,797.1,394.1,702.4,4662.56359806517,7439.413863760604,9307.238252672274
2019,Small,14,,,,6138.857142857143,3069.214285714286,1780.357142857143,1906.7142857142858,1377.9285714285713,1006.5714285714286,721.5714285714286,619.1428571428571,583.5714285714286,4403.518373950327,7665.349825894475,5248.623121744446
2019,Medium,16,,,,6176.8125,3628.125,2000.0625,1762.5,1424.5,1072.9375,643.25,571.625,611.0625,6857.0039415451365,5699.240445898816,3071.234174376285
2019,Large,14,,,,5917.928571428572,2781.1428571428573,1606.4285714285713,1417.857142857143,1177.5,964.3571428571429,501.0,507.57142857142856,701.2857142857143,5841.0974186200765,5542.080224373645,2665.21031253061
2019,Springfield,1,,,,5510.0,2765.0,2499.0,1357.0,1337.0,983.0,416.0,469.0,1673.0,11642.981631277384,1394.8221607918586,-6.317230318787526e-05
2020,Tiny,5,,,,7101.6,3394.2,1814.2,2096.6,1654.2,2207.4,822.8,299.8,440.6,5002.96622848759,7992.740458220511,9817.506774267984
2020,Small,29,,,,6821.3448275862065,3503.9310344827586,1783.4137931034484,2385.793103448276,1489.103448275862,1305.6896551724137,797.7241379310345,534.8965517241379,660.7241379310345,4722.333078539976,7784.733387254891,7429.135436916441
2020,Medium,13,,,,6553.538461538462,3924.4615384615386,1956.2307692307693,1905.3846153846155,1533.923076923077,1186.8461538461538,715.4615384615385,633.1538461538462,620.3076923076923,6956.305887388861,6257.18485071448,3689.436395432523
2020,Large,17,,,,5945.823529411765,2932.3529411764707,1553.8235294117646,1413.3529411764705,1177.2941176470588,980.8235294117648,539.9411764705883,539.8235294117648,620.8235294117648,6393.434306603478,5540.715793473511,2419.2388405604715
2020,Springfield,1,,,,5800.0,3001.0,2148.0,1390.0,1093.0,1090.0,407.0,483.0,1765.0,12505.441929499071,1377.3712894019982,-498.9759580697393
2021,Tiny,5,,,,6983.4,3683.0,2187.2,2325.8,1991.4,2626.2,992.4,303.0,933.0,5419.832595924401,8462.692426565303,8860.368005778286
2021,Small,27,,,,7728.111111111111,3905.703703703704,2060.296296296296,2524.6666666666665,1882.2592592592594,1477.148148148148,873.0,579.3703703703703,1234.2222222222222,4856.986185401327,8022.07332712986,8010.613393958081
2021,Medium,15,,,,7073.6,4191.133333333333,2016.0,2080.8,1668.0666666666666,1221.4666666666667,803.7333333333333,798.6,991.2666666666667,6530.234115318478,6871.981198449537,4521.71318380062
2021,Large,17,,,,6292.470588235294,3136.5882352941176,1625.0,1555.0588235294117,1347.0,1034.4117647058824,582.1176470588235,604.2352941176471,827.3529411764706,6510.005447437542,5743.245502001679,2348.4329076405165
2021,Springfield,1,,,,6442.0,3217.0,2077.0,1337.0,1534.0,1103.0,441.0,513.0,2487.0,12763.350648032216,1917.5504475983016,0.0001139344872486
2022,Tiny,4,,,,7624.75,3941.75,1981.25,3425.75,1689.25,2387.0,887.25,584.25,1234.0,5337.977393136411,9859.853610393338,10618.075227495734
2022,Small,28,,,,7692.964285714285,3742.035714285714,2161.6428571428573,2673.785714285714,2085.8928571428573,1470.642857142857,932.5357142857143,665.2142857142857,919.4642857142857,5471.954379000485,8508.173744849124,9368.531846121065
2022,Medium,16,,,,7053.5,4200.75,2323.6875,2231.25,1687.125,1298.875,838.625,840.25,1043.125,6778.944308693433,7332.335122971151,4648.397555927134
2022,Large,16,,,,6563.375,3261.5625,1951.625,1744.3125,1450.25,1110.625,582.6875,665.6875,909.5,7097.213905452115,5892.173599319799,2797.1910111394277
2022,Springfield,1,,,,7095.0,3461.0,3080.0,1518.0,1536.0,1402.0,501.0,522.0,2260.0,13839.861172110895,1481.4594427669504,0.0002294873270136
2023,Tiny,6,,,,8008.5,4195.5,2623.5,3223.3333333333335,2190.1666666666665,2299.0,1298.1666666666667,473.0,945.6666666666666,6504.584432287833,9546.233482604288,10586.313316803313
2023,Small,26,,,,7728.884615384615,4193.115384615385,2359.269230769231,2722.9615384615386,2147.5,1503.8076923076924,965.0769230769231,627.5384615384615,1126.4615384615386,5238.356645205584,8823.646411779006,9423.536440435113
