Year,Cohort,District,FTE_In_District,FTE_Out_District,FTE_Foundation,Teachers_PPE,"Insurance, Retirement and Other_PPE",Pupil Services_PPE,Other Teaching Services_PPE,Operations and Maintenance_PPE,Instructional Leadership_PPE,Administration_PPE,"Guidance, Counseling and Testing_PPE",Other_PPE,Ch70 Aid,Req NSS (minus Ch70),Actual NSS (minus Req NSS)
2009,Tiny,Chesterfield-Goshen,,,,3873.0,1320.0,1309.0,616.0,1070.0,741.0,529.0,172.0,628.0,4741.116564417178,3794.361963190184,2822.711656441718
2009,Tiny,Clarksburg,,,,4264.0,1814.0,1314.0,1392.0,758.0,1165.0,507.0,353.0,881.0,6382.851851851852,1447.4444444444443,931.7070625379474
2009,Tiny,Conway,,,,4554.0,1688.0,1389.0,2084.0,1081.0,744.0,913.0,462.0,642.0,4498.114084507042,4493.408450704225,3302.233802816901
2009,Tiny,Erving,,,,4278.0,3363.0,1101.0,2609.0,1314.0,945.0,1089.0,355.0,874.0,1535.6579925650558,6932.624535315985,3982.9848814165257
2009,Tiny,Farmington River Reg,,,,6177.0,3585.0,2925.0,1741.0,1884.0,1659.0,1103.0,137.0,954.0,,,
2009,Tiny,Florida,,,,3887.0,1998.0,1656.0,875.0,931.0,1084.0,516.0,73.0,329.0,5117.178217821782,3236.4455445544554,4264.833663366337
2009,Tiny,Hancock,,,,9868.0,1133.0,1137.0,757.0,1214.0,650.0,636.0,0.0,674.0,2012.774509803921,7295.607843137255,1720.1570587340907
2009,Tiny,Hawlemont,,,,4965.0,2199.0,1365.0,1757.0,1544.0,1082.0,959.0,205.0,455.0,6082.1289719626175,3445.766355140187,4102.525233644859
2009,Tiny,Leverett,,,,5218.0,2098.0,1085.0,2385.0,1755.0,1015.0,715.0,310.0,575.0,2302.5056,6554.976,7014.3184
2009,Tiny,New Salem-Wendell,,,,4214.0,2146.0,682.0,1968.0,1514.0,1735.0,777.0,322.0,721.0,,,
2009,Tiny,Pelham,,,,5889.0,2615.0,594.0,2184.0,920.0,1123.0,390.0,438.0,580.0,2743.1623529411763,5482.658823529412,7694.437647058823
2009,Tiny,Petersham,,,,4419.0,1893.0,1757.0,1722.0,1943.0,962.0,637.0,622.0,269.0,4218.476635514019,3674.635514018692,2433.056074766356
2009,Tiny,Richmond,,,,7221.0,1567.0,887.0,1045.0,1375.0,640.0,316.0,0.0,384.0,1680.5481132075472,8494.844339622643,3318.763207547169
2009,Tiny,Rowe,,,,6891.0,4774.0,2656.0,1406.0,2061.0,1983.0,1790.0,198.0,857.0,1488.2408163265306,10323.081632653062,16198.2
2009,Tiny,Savoy,,,,4763.0,2770.0,1281.0,1067.0,790.0,1059.0,701.0,123.0,218.0,5272.77,2814.49,2254.9
2009,Tiny,Shutesbury,,,,4821.0,2332.0,990.0,2185.0,1180.0,969.0,652.0,302.0,580.0,3951.623076923077,4279.775641025641,4330.979487179488
2009,Tiny,Westhampton,,,,4680.0,1820.0,1008.0,1042.0,783.0,939.0,470.0,314.0,379.0,3024.620143884892,5283.53237410072,3538.4647482014398
2009,Tiny,Whately,,,,4354.0,1977.0,1286.0,1959.0,1319.0,915.0,695.0,682.0,553.0,2415.5372549019608,5640.401960784314,8958.103921568627
2009,Tiny,Williamsburg,,,,5473.0,1603.0,1081.0,1040.0,1123.0,649.0,471.0,291.0,412.0,2719.6000000000004,6322.025157232703,3511.803773584906
2009,Small,Deerfield,,,,4147.0,1252.0,1191.0,1438.0,980.0,560.0,669.0,236.0,391.0,2745.9007444168733,5174.665012406948,2576.606947890818
