district_code,DIST_NAME,EOHHS_REGION,region_confidence,SCHOOL_TYPE
4450000,Abby Kelley Foster Charter Public (District),Central,host-town-curated,Charter
10000,Abington,Southeast,largest-area,Traditional
4120000,Academy Of the Pacific Rim Charter Public (District),Boston,host-town-curated,Charter
6000000,Acton-Boxborough,Metro West,largest-area,Traditional
30000,Acushnet,Southeast,largest-area,Traditional
4300000,Advanced Math and Science Academy Charter (District),Metro West,host-town-curated,Charter
50000,Agawam,Western,largest-area,Traditional
4090000,Alma del Mar Charter School (District),Southeast,host-town-curated,Charter
70000,Amesbury,Northeast,largest-area,Traditional
4150000,Amesbury Academy Charter Public (District),Northeast,host-town-inferred,Charter
80000,Amherst,Western,largest-area,Traditional
6050000,Amherst-Pelham,Western,largest-area,Traditional
90000,Andover,Northeast,largest-area,Traditional
35090000,Argosy Collegiate Charter School (District),Southeast,host-town-curated,Charter
100000,Arlington,Metro West,largest-area,Traditional
6100000,Ashburnham-Westminster,Central,largest-area,Traditional
6120000,Ashfield-Plainfield Reg,Western,host-town-inferred,Traditional
140000,Ashland,Metro West,largest-area,Traditional
8010000,Assabet Valley Regional Vocational Technical,Unknown,no_intersection,Vocational
6150000,Athol-Royalston,Western,largest-area,Traditional
4910000,Atlantis Charter (District),Southeast,host-town-curated,Charter
160000,Attleboro,Southeast,largest-area,Traditional
170000,Auburn,Central,largest-area,Traditional
180000,Avon,Southeast,largest-area,Traditional
6160000,Ayer Shirley School District,Central,largest-area,Traditional
200000,Barnstable,Southeast,largest-area,Traditional
4270000,Barnstable Community Horace Mann Charter Public (District),Southeast,host-town-curated,Charter
4230000,Barnstable Horace Mann Charter (District),Southeast,host-town-curated,Charter
35020000,Baystate Academy Charter Public School (District),Western,host-town-curated,Charter
230000,Bedford,Metro West,largest-area,Traditional
240000,Belchertown,Western,largest-area,Traditional
250000,Bellingham,Central,largest-area,Traditional
260000,Belmont,Metro West,largest-area,Traditional
4200000,Benjamin Banneker Charter Public (District),Metro West,host-town-curated,Charter
4470000,Benjamin Franklin Classical Charter Public (District),Central,host-town-curated,Charter
35110000,Bentley Academy Charter School (District),Northeast,host-town-curated,Charter
270000,Berkley,Southeast,largest-area,Traditional
4140000,Berkshire Arts and Technology Charter Public (District),Western,host-town-curated,Charter
6180000,Berkshire Hills,Western,largest-area,Traditional
6200000,Berlin-Boylston,Central,largest-area,Traditional
300000,Beverly,Northeast,largest-area,Traditional
310000,Billerica,Northeast,largest-area,Traditional
8050000,Blackstone Valley Regional Vocational Technical,Central,host-town-inferred,Vocational
6220000,Blackstone-Millville,Central,largest-area,Traditional
8060605,Blue Hills Regional Vocational Technical,Unknown,no_intersection,Vocational
350000,Boston,Boston,largest-area,Traditional
4490000,Boston Collegiate Charter (District),Boston,host-town-curated,Charter
4240000,Boston Day and Evening Academy Charter (District),Boston,host-town-inferred,Charter
4110000,Boston Green Academy Horace Mann Charter School (District),Boston,host-town-inferred,Charter
4160000,Boston Preparatory Charter Public (District),Boston,host-town-curated,Charter
4810000,Boston Renaissance Charter Public (District),Boston,host-town-inferred,Charter
4250000,Boston University Charter,Boston,host-town-inferred,Charter
360000,Bourne,Southeast,largest-area,Traditional
380000,Boxford,Northeast,largest-area,Traditional
400000,Braintree,Metro West,largest-area,Traditional
410000,Brewster,Southeast,largest-area,Traditional
4170000,Bridge Boston Charter School (District),Boston,host-town-inferred,Charter
6250000,Bridgewater-Raynham,Southeast,largest-area,Traditional
430000,Brimfield,Central,largest-area,Traditional
9100000,Bristol County Agricultural,Unknown,no_intersection,Vocational
8100000,Bristol-Plymouth Regional Vocational Technical,Southeast,host-town-inferred,Vocational
440000,Brockton,Southeast,largest-area,Traditional
4280000,Brooke Charter School (District),Boston,host-town-curated,Charter
4570000,Brooke Charter School East Boston (District),Boston,host-town-curated,Charter
4430000,Brooke Charter School Mattapan (District),Boston,host-town-curated,Charter
440010,Brookfield,Central,host-town-inferred,Traditional
460000,Brookline,Boston,largest-area,Traditional
6300000,Buckland Colrain Shelburn Regional,Western,host-town-inferred,Traditional
480000,Burlington,Metro West,largest-area,Traditional
490000,Cambridge,Metro West,largest-area,Traditional
500000,Canton,Metro West,largest-area,Traditional
4320000,Cape Cod Lighthouse Charter (District),Unknown,no_intersection,Charter
8150000,Cape Cod Regional Vocational Technical,Unknown,no_intersection,Vocational
510000,Carlisle,Metro West,largest-area,Traditional
520000,Carver,Southeast,largest-area,Traditional
6350000,Central Berkshire,Western,largest-area,Traditional
4340000,Champion Charter (District),Unknown,no_intersection,Charter
560000,Chelmsford,Northeast,largest-area,Traditional
570000,Chelsea,Boston,largest-area,Traditional
6320000,Chesterfield-Goshen,Western,largest-area,Traditional
610000,Chicopee,Western,largest-area,Traditional
4180000,Christa McAuliffe Charter School (District),Metro West,host-town-curated,Charter
4370000,City on a Hill Charter Public School (District),Boston,host-town-curated,Charter
35040000,City on a Hill Charter Public School Dudley Square (District),Boston,host-town-curated,Charter
35070000,City on a Hill Charter Public School New Bedford (District),Boston,host-town-curated,Charter
630000,Clarksburg,Western,largest-area,Traditional
640000,Clinton,Central,largest-area,Traditional
4380000,Codman Academy Charter Public (District),Unknown,no_intersection,Charter
650000,Cohasset,Metro West,largest-area,Traditional
35030000,Collegiate Charter School of Lowell (District),Northeast,host-town-inferred,Charter
4360000,Community Charter School of Cambridge (District),Metro West,host-town-curated,Charter
4260000,Community Day Charter Public School - Gateway (District),Unknown,no_intersection,Charter
4310000,Community Day Charter Public School - R. Kingman Webster (District),Central,host-town-inferred,Charter
4400000,Community Day Charter Public School (District),Unknown,no_intersection,Charter
670000,Concord,Metro West,largest-area,Traditional
6400000,Concord-Carlisle,Metro West,largest-area,Traditional
4390000,Conservatory Lab Charter (District),Boston,host-town-curated,Charter
680000,Conway,Western,largest-area,Traditional
710000,Danvers,Northeast,largest-area,Traditional
720000,Dartmouth,Southeast,largest-area,Traditional
730000,Dedham,Metro West,largest-area,Traditional
740000,Deerfield,Western,largest-area,Traditional
6450000,Dennis-Yarmouth,Southeast,largest-area,Traditional
6500000,Dighton-Rehoboth,Southeast,largest-area,Traditional
4750000,Dorchester Collegiate Academy Charter (District),Unknown,no_intersection,Charter
770000,Douglas,Central,largest-area,Traditional
780000,Dover,Metro West,largest-area,Traditional
6550000,Dover-Sherborn,Metro West,largest-area,Traditional
790000,Dracut,Northeast,largest-area,Traditional
4070000,Dudley Street Neighborhood Charter School (District),Central,host-town-inferred,Charter
6580000,Dudley-Charlton Reg,Central,largest-area,Traditional
820000,Duxbury,Southeast,largest-area,Traditional
830000,East Bridgewater,Southeast,largest-area,Traditional
870000,East Longmeadow,Western,largest-area,Traditional
850000,Eastham,Southeast,largest-area,Traditional
860000,Easthampton,Western,largest-area,Traditional
880000,Easton,Southeast,largest-area,Traditional
890000,Edgartown,Southeast,largest-area,Traditional
